user_parameters.random_seed,user_parameters.immune_apoptosis_rate,user_parameters.immune_migration_bias,user_parameters.immune_kill_rate,user_parameters.immune_attachment_lifetime,user_parameters.immune_attachment_rate,user_parameters.oncoprotein_threshold,save.SVG.enable,user_parameters.tumor_immunogenicity_standard_deviation
3,6.94e-06,0.5,1,10,0.505,0.1,false,0.05
4,6.94e-06,0.5,1,10,0.505,0.1,false,0.05
5,6.94e-06,0.5,1,10,0.505,0.1,false,0.05
6,6.94e-06,0.5,1,10,0.505,0.1,false,0.05
7,6.94e-06,0.5,1,10,0.505,0.1,false,0.05
8,6.94e-06,0.5,1,10,0.505,0.1,false,0.05
9,6.94e-06,0.5,1,10,0.505,0.1,false,0.05
0,0.000694,0.9,1,10,0.505,0.1,false,0.05
1,0.000694,0.9,1,10,0.505,0.1,false,0.05
2,0.000694,0.9,1,10,0.505,0.1,false,0.05
3,0.000694,0.9,1,10,0.505,0.1,false,0.05
4,0.000694,0.9,1,10,0.505,0.1,false,0.05
5,0.000694,0.9,1,10,0.505,0.1,false,0.05
6,0.000694,0.9,1,10,0.505,0.1,false,0.05
7,0.000694,0.9,1,10,0.505,0.1,false,0.05
8,0.000694,0.9,1,10,0.505,0.1,false,0.05
9,0.000694,0.9,1,10,0.505,0.1,false,0.05
0,0.00035047,0.9,1,10,0.505,0.1,false,0.05
1,0.00035047,0.9,1,10,0.505,0.1,false,0.05
2,0.00035047,0.9,1,10,0.505,0.1,false,0.05
3,0.00035047,0.9,1,10,0.505,0.1,false,0.05
4,0.00035047,0.9,1,10,0.505,0.1,false,0.05
5,0.00035047,0.9,1,10,0.505,0.1,false,0.05
6,0.00035047,0.9,1,10,0.505,0.1,false,0.05
7,0.00035047,0.9,1,10,0.505,0.1,false,0.05
8,0.00035047,0.9,1,10,0.505,0.1,false,0.05
9,0.00035047,0.9,1,10,0.505,0.1,false,0.05
0,6.94e-06,0.9,1,10,0.505,0.1,false,0.05
1,6.94e-06,0.9,1,10,0.505,0.1,false,0.05
2,6.94e-06,0.9,1,10,0.505,0.1,false,0.05
3,6.94e-06,0.9,1,10,0.505,0.1,false,0.05
4,6.94e-06,0.9,1,10,0.505,0.1,false,0.05
5,6.94e-06,0.9,1,10,0.505,0.1,false,0.05
6,6.94e-06,0.9,1,10,0.505,0.1,false,0.05
7,6.94e-06,0.9,1,10,0.505,0.1,false,0.05
8,6.94e-06,0.9,1,10,0.505,0.1,false,0.05
9,6.94e-06,0.9,1,10,0.505,0.1,false,0.05
0,0.000694,0.1,0.01,50,0.505,0.1,false,0.05
1,0.000694,0.1,0.01,50,0.505,0.1,false,0.05
2,0.000694,0.1,0.01,50,0.505,0.1,false,0.05
3,0.000694,0.1,0.01,50,0.505,0.1,false,0.05
4,0.000694,0.1,0.01,50,0.505,0.1,false,0.05
5,0.000694,0.1,0.01,50,0.505,0.1,false,0.05
6,0.000694,0.1,0.01,50,0.505,0.1,false,0.05
7,0.000694,0.1,0.01,50,0.505,0.1,false,0.05
8,0.000694,0.1,0.01,50,0.505,0.1,false,0.05
9,0.000694,0.1,0.01,50,0.505,0.1,false,0.05
0,0.00035047,0.1,0.01,50,0.505,0.1,false,0.05
1,0.00035047,0.1,0.01,50,0.505,0.1,false,0.05
2,0.00035047,0.1,0.01,50,0.505,0.1,false,0.05
3,0.00035047,0.1,0.01,50,0.505,0.1,false,0.05
4,0.00035047,0.1,0.01,50,0.505,0.1,false,0.05
5,0.00035047,0.1,0.01,50,0.505,0.1,false,0.05
6,0.00035047,0.1,0.01,50,0.505,0.1,false,0.05
7,0.00035047,0.1,0.01,50,0.505,0.1,false,0.05
8,0.00035047,0.1,0.01,50,0.505,0.1,false,0.05
9,0.00035047,0.1,0.01,50,0.505,0.1,false,0.05
0,6.94e-06,0.1,0.01,50,0.505,0.1,false,0.05
1,6.94e-06,0.1,0.01,50,0.505,0.1,false,0.05
2,6.94e-06,0.1,0.01,50,0.505,0.1,false,0.05
3,6.94e-06,0.1,0.01,50,0.505,0.1,false,0.05
4,6.94e-06,0.1,0.01,50,0.505,0.1,false,0.05
5,6.94e-06,0.1,0.01,50,0.505,0.1,false,0.05
6,6.94e-06,0.1,0.01,50,0.505,0.1,false,0.05
7,6.94e-06,0.1,0.01,50,0.505,0.1,false,0.05
8,6.94e-06,0.1,0.01,50,0.505,0.1,false,0.05
9,6.94e-06,0.1,0.01,50,0.505,0.1,false,0.05
0,0.000694,0.5,0.01,50,0.505,0.1,false,0.05
1,0.000694,0.5,0.01,50,0.505,0.1,false,0.05
2,0.000694,0.5,0.01,50,0.505,0.1,false,0.05
3,0.000694,0.5,0.01,50,0.505,0.1,false,0.05
4,0.000694,0.5,0.01,50,0.505,0.1,false,0.05
5,0.000694,0.5,0.01,50,0.505,0.1,false,0.05
6,0.000694,0.5,0.01,50,0.505,0.1,false,0.05
7,0.000694,0.5,0.01,50,0.505,0.1,false,0.05
8,0.000694,0.5,0.01,50,0.505,0.1,false,0.05
9,0.000694,0.5,0.01,50,0.505,0.1,false,0.05
0,0.00035047,0.5,0.01,50,0.505,0.1,false,0.05
1,0.00035047,0.5,0.01,50,0.505,0.1,false,0.05
2,0.00035047,0.5,0.01,50,0.505,0.1,false,0.05
3,0.00035047,0.5,0.01,50,0.505,0.1,false,0.05
4,0.00035047,0.5,0.01,50,0.505,0.1,false,0.05
5,0.00035047,0.5,0.01,50,0.505,0.1,false,0.05
6,0.00035047,0.5,0.01,50,0.505,0.1,false,0.05
7,0.00035047,0.5,0.01,50,0.505,0.1,false,0.05
8,0.00035047,0.5,0.01,50,0.505,0.1,false,0.05
9,0.00035047,0.5,0.01,50,0.505,0.1,false,0.05
0,6.94e-06,0.5,0.01,50,0.505,0.1,false,0.05
1,6.94e-06,0.5,0.01,50,0.505,0.1,false,0.05
2,6.94e-06,0.5,0.01,50,0.505,0.1,false,0.05
3,6.94e-06,0.5,0.01,50,0.505,0.1,false,0.05
4,6.94e-06,0.5,0.01,50,0.505,0.1,false,0.05
5,6.94e-06,0.5,0.01,50,0.505,0.1,false,0.05
6,6.94e-06,0.5,0.01,50,0.505,0.1,false,0.05
7,6.94e-06,0.5,0.01,50,0.505,0.1,false,0.05
8,6.94e-06,0.5,0.01,50,0.505,0.1,false,0.05
9,6.94e-06,0.5,0.01,50,0.505,0.1,false,0.05
0,0.000694,0.9,0.01,50,0.505,0.1,false,0.05
1,0.000694,0.9,0.01,50,0.505,0.1,false,0.05
2,0.000694,0.9,0.01,50,0.505,0.1,false,0.05
3,0.000694,0.9,0.01,50,0.505,0.1,false,0.05
4,0.000694,0.9,0.01,50,0.505,0.1,false,0.05
5,0.000694,0.9,0.01,50,0.505,0.1,false,0.05
6,0.000694,0.9,0.01,50,0.505,0.1,false,0.05
7,0.000694,0.9,0.01,50,0.505,0.1,false,0.05
8,0.000694,0.9,0.01,50,0.505,0.1,false,0.05
9,0.000694,0.9,0.01,50,0.505,0.1,false,0.05
0,0.00035047,0.9,0.01,50,0.505,0.1,false,0.05
1,0.00035047,0.9,0.01,50,0.505,0.1,false,0.05
2,0.00035047,0.9,0.01,50,0.505,0.1,false,0.05
3,0.00035047,0.9,0.01,50,0.505,0.1,false,0.05
4,0.00035047,0.9,0.01,50,0.505,0.1,false,0.05
5,0.00035047,0.9,0.01,50,0.505,0.1,false,0.05
6,0.00035047,0.9,0.01,50,0.505,0.1,false,0.05
7,0.00035047,0.9,0.01,50,0.505,0.1,false,0.05
8,0.00035047,0.9,0.01,50,0.505,0.1,false,0.05
9,0.00035047,0.9,0.01,50,0.505,0.1,false,0.05
0,6.94e-06,0.9,0.01,50,0.505,0.1,false,0.05
1,6.94e-06,0.9,0.01,50,0.505,0.1,false,0.05
2,6.94e-06,0.9,0.01,50,0.505,0.1,false,0.05
3,6.94e-06,0.9,0.01,50,0.505,0.1,false,0.05
4,6.94e-06,0.9,0.01,50,0.505,0.1,false,0.05
5,6.94e-06,0.9,0.01,50,0.505,0.1,false,0.05
6,6.94e-06,0.9,0.01,50,0.505,0.1,false,0.05
7,6.94e-06,0.9,0.01,50,0.505,0.1,false,0.05
8,6.94e-06,0.9,0.01,50,0.505,0.1,false,0.05
9,6.94e-06,0.9,0.01,50,0.505,0.1,false,0.05
0,0.000694,0.1,0.505,50,0.505,0.1,false,0.05
1,0.000694,0.1,0.505,50,0.505,0.1,false,0.05
2,0.000694,0.1,0.505,50,0.505,0.1,false,0.05
3,0.000694,0.1,0.505,50,0.505,0.1,false,0.05
4,0.000694,0.1,0.505,50,0.505,0.1,false,0.05
5,0.000694,0.1,0.505,50,0.505,0.1,false,0.05
6,0.000694,0.1,0.505,50,0.505,0.1,false,0.05
7,0.000694,0.1,0.505,50,0.505,0.1,false,0.05
8,0.000694,0.1,0.505,50,0.505,0.1,false,0.05
9,0.000694,0.1,0.505,50,0.505,0.1,false,0.05
0,0.00035047,0.1,0.505,50,0.505,0.1,false,0.05
1,0.00035047,0.1,0.505,50,0.505,0.1,false,0.05
2,0.00035047,0.1,0.505,50,0.505,0.1,false,0.05
3,0.00035047,0.1,0.505,50,0.505,0.1,false,0.05
4,0.00035047,0.1,0.505,50,0.505,0.1,false,0.05
5,0.00035047,0.1,0.505,50,0.505,0.1,false,0.05
6,0.00035047,0.1,0.505,50,0.505,0.1,false,0.05
7,0.00035047,0.1,0.505,50,0.505,0.1,false,0.05
8,0.00035047,0.1,0.505,50,0.505,0.1,false,0.05
9,0.00035047,0.1,0.505,50,0.505,0.1,false,0.05
0,6.94e-06,0.1,0.505,50,0.505,0.1,false,0.05
1,6.94e-06,0.1,0.505,50,0.505,0.1,false,0.05
2,6.94e-06,0.1,0.505,50,0.505,0.1,false,0.05
3,6.94e-06,0.1,0.505,50,0.505,0.1,false,0.05
4,6.94e-06,0.1,0.505,50,0.505,0.1,false,0.05
5,6.94e-06,0.1,0.505,50,0.505,0.1,false,0.05
6,6.94e-06,0.1,0.505,50,0.505,0.1,false,0.05
7,6.94e-06,0.1,0.505,50,0.505,0.1,false,0.05
8,6.94e-06,0.1,0.505,50,0.505,0.1,false,0.05
9,6.94e-06,0.1,0.505,50,0.505,0.1,false,0.05
0,0.000694,0.5,0.505,50,0.505,0.1,false,0.05
1,0.000694,0.5,0.505,50,0.505,0.1,false,0.05
2,0.000694,0.5,0.505,50,0.505,0.1,false,0.05
3,0.000694,0.5,0.505,50,0.505,0.1,false,0.05
4,0.000694,0.5,0.505,50,0.505,0.1,false,0.05
5,0.000694,0.5,0.505,50,0.505,0.1,false,0.05
6,0.000694,0.5,0.505,50,0.505,0.1,false,0.05
7,0.000694,0.5,0.505,50,0.505,0.1,false,0.05
8,0.000694,0.5,0.505,50,0.505,0.1,false,0.05
9,0.000694,0.5,0.505,50,0.505,0.1,false,0.05
0,0.00035047,0.5,0.505,50,0.505,0.1,false,0.05
1,0.00035047,0.5,0.505,50,0.505,0.1,false,0.05
2,0.00035047,0.5,0.505,50,0.505,0.1,false,0.05
3,0.00035047,0.5,0.505,50,0.505,0.1,false,0.05
4,0.00035047,0.5,0.505,50,0.505,0.1,false,0.05
5,0.00035047,0.5,0.505,50,0.505,0.1,false,0.05
6,0.00035047,0.5,0.505,50,0.505,0.1,false,0.05
7,0.00035047,0.5,0.505,50,0.505,0.1,false,0.05
8,0.00035047,0.5,0.505,50,0.505,0.1,false,0.05
9,0.00035047,0.5,0.505,50,0.505,0.1,false,0.05
0,6.94e-06,0.5,0.505,50,0.505,0.1,false,0.05
1,6.94e-06,0.5,0.505,50,0.505,0.1,false,0.05
2,6.94e-06,0.5,0.505,50,0.505,0.1,false,0.05
3,6.94e-06,0.5,0.505,50,0.505,0.1,false,0.05
4,6.94e-06,0.5,0.505,50,0.505,0.1,false,0.05
5,6.94e-06,0.5,0.505,50,0.505,0.1,false,0.05
6,6.94e-06,0.5,0.505,50,0.505,0.1,false,0.05
7,6.94e-06,0.5,0.505,50,0.505,0.1,false,0.05
8,6.94e-06,0.5,0.505,50,0.505,0.1,false,0.05
9,6.94e-06,0.5,0.505,50,0.505,0.1,false,0.05
0,0.000694,0.9,0.505,50,0.505,0.1,false,0.05
1,0.000694,0.9,0.505,50,0.505,0.1,false,0.05
2,0.000694,0.9,0.505,50,0.505,0.1,false,0.05
3,0.000694,0.9,0.505,50,0.505,0.1,false,0.05
4,0.000694,0.9,0.505,50,0.505,0.1,false,0.05
5,0.000694,0.9,0.505,50,0.505,0.1,false,0.05
6,0.000694,0.9,0.505,50,0.505,0.1,false,0.05
7,0.000694,0.9,0.505,50,0.505,0.1,false,0.05
8,0.000694,0.9,0.505,50,0.505,0.1,false,0.05
9,0.000694,0.9,0.505,50,0.505,0.1,false,0.05
0,0.00035047,0.9,0.505,50,0.505,0.1,false,0.05
1,0.00035047,0.9,0.505,50,0.505,0.1,false,0.05
2,0.00035047,0.9,0.505,50,0.505,0.1,false,0.05
3,0.00035047,0.9,0.505,50,0.505,0.1,false,0.05
4,0.00035047,0.9,0.505,50,0.505,0.1,false,0.05
5,0.00035047,0.9,0.505,50,0.505,0.1,false,0.05
6,0.00035047,0.9,0.505,50,0.505,0.1,false,0.05
7,0.00035047,0.9,0.505,50,0.505,0.1,false,0.05
8,0.00035047,0.9,0.505,50,0.505,0.1,false,0.05
9,0.00035047,0.9,0.505,50,0.505,0.1,false,0.05
0,6.94e-06,0.9,0.505,50,0.505,0.1,false,0.05
1,6.94e-06,0.9,0.505,50,0.505,0.1,false,0.05
2,6.94e-06,0.9,0.505,50,0.505,0.1,false,0.05
3,6.94e-06,0.9,0.505,50,0.505,0.1,false,0.05
4,6.94e-06,0.9,0.505,50,0.505,0.1,false,0.05
5,6.94e-06,0.9,0.505,50,0.505,0.1,false,0.05
6,6.94e-06,0.9,0.505,50,0.505,0.1,false,0.05
7,6.94e-06,0.9,0.505,50,0.505,0.1,false,0.05
8,6.94e-06,0.9,0.505,50,0.505,0.1,false,0.05
9,6.94e-06,0.9,0.505,50,0.505,0.1,false,0.05
0,0.000694,0.1,1,50,0.505,0.1,false,0.05
1,0.000694,0.1,1,50,0.505,0.1,false,0.05
2,0.000694,0.1,1,50,0.505,0.1,false,0.05
3,0.000694,0.1,1,50,0.505,0.1,false,0.05
4,0.000694,0.1,1,50,0.505,0.1,false,0.05
5,0.000694,0.1,1,50,0.505,0.1,false,0.05
6,0.000694,0.1,1,50,0.505,0.1,false,0.05
7,0.000694,0.1,1,50,0.505,0.1,false,0.05
8,0.000694,0.1,1,50,0.505,0.1,false,0.05
9,0.000694,0.1,1,50,0.505,0.1,false,0.05
0,0.00035047,0.1,1,50,0.505,0.1,false,0.05
1,0.00035047,0.1,1,50,0.505,0.1,false,0.05
2,0.00035047,0.1,1,50,0.505,0.1,false,0.05
3,0.00035047,0.1,1,50,0.505,0.1,false,0.05
4,0.00035047,0.1,1,50,0.505,0.1,false,0.05
5,0.00035047,0.1,1,50,0.505,0.1,false,0.05
6,0.00035047,0.1,1,50,0.505,0.1,false,0.05
7,0.00035047,0.1,1,50,0.505,0.1,false,0.05
8,0.00035047,0.1,1,50,0.505,0.1,false,0.05
9,0.00035047,0.1,1,50,0.505,0.1,false,0.05
0,6.94e-06,0.1,1,50,0.505,0.1,false,0.05
1,6.94e-06,0.1,1,50,0.505,0.1,false,0.05
2,6.94e-06,0.1,1,50,0.505,0.1,false,0.05
3,6.94e-06,0.1,1,50,0.505,0.1,false,0.05
4,6.94e-06,0.1,1,50,0.505,0.1,false,0.05
5,6.94e-06,0.1,1,50,0.505,0.1,false,0.05
6,6.94e-06,0.1,1,50,0.505,0.1,false,0.05
7,6.94e-06,0.1,1,50,0.505,0.1,false,0.05
8,6.94e-06,0.1,1,50,0.505,0.1,false,0.05
9,6.94e-06,0.1,1,50,0.505,0.1,false,0.05
0,0.000694,0.5,1,50,0.505,0.1,false,0.05
1,0.000694,0.5,1,50,0.505,0.1,false,0.05
2,0.000694,0.5,1,50,0.505,0.1,false,0.05
3,0.000694,0.5,1,50,0.505,0.1,false,0.05
4,0.000694,0.5,1,50,0.505,0.1,false,0.05
5,0.000694,0.5,1,50,0.505,0.1,false,0.05
6,0.000694,0.5,1,50,0.505,0.1,false,0.05
7,0.000694,0.5,1,50,0.505,0.1,false,0.05
8,0.000694,0.5,1,50,0.505,0.1,false,0.05
9,0.000694,0.5,1,50,0.505,0.1,false,0.05
0,0.00035047,0.5,1,50,0.505,0.1,false,0.05
1,0.00035047,0.5,1,50,0.505,0.1,false,0.05
2,0.00035047,0.5,1,50,0.505,0.1,false,0.05
3,0.00035047,0.5,1,50,0.505,0.1,false,0.05
4,0.00035047,0.5,1,50,0.505,0.1,false,0.05
5,0.00035047,0.5,1,50,0.505,0.1,false,0.05
6,0.00035047,0.5,1,50,0.505,0.1,false,0.05
7,0.00035047,0.5,1,50,0.505,0.1,false,0.05
8,0.00035047,0.5,1,50,0.505,0.1,false,0.05
9,0.00035047,0.5,1,50,0.505,0.1,false,0.05
0,6.94e-06,0.5,1,50,0.505,0.1,false,0.05
1,6.94e-06,0.5,1,50,0.505,0.1,false,0.05
2,6.94e-06,0.5,1,50,0.505,0.1,false,0.05
3,6.94e-06,0.5,1,50,0.505,0.1,false,0.05
4,6.94e-06,0.5,1,50,0.505,0.1,false,0.05
5,6.94e-06,0.5,1,50,0.505,0.1,false,0.05
6,6.94e-06,0.5,1,50,0.505,0.1,false,0.05
7,6.94e-06,0.5,1,50,0.505,0.1,false,0.05
8,6.94e-06,0.5,1,50,0.505,0.1,false,0.05
9,6.94e-06,0.5,1,50,0.505,0.1,false,0.05
0,0.000694,0.9,1,50,0.505,0.1,false,0.05
1,0.000694,0.9,1,50,0.505,0.1,false,0.05
2,0.000694,0.9,1,50,0.505,0.1,false,0.05
3,0.000694,0.9,1,50,0.505,0.1,false,0.05
4,0.000694,0.9,1,50,0.505,0.1,false,0.05
5,0.000694,0.9,1,50,0.505,0.1,false,0.05
6,0.000694,0.9,1,50,0.505,0.1,false,0.05
7,0.000694,0.9,1,50,0.505,0.1,false,0.05
8,0.000694,0.9,1,50,0.505,0.1,false,0.05
9,0.000694,0.9,1,50,0.505,0.1,false,0.05
0,0.00035047,0.9,1,50,0.505,0.1,false,0.05
1,0.00035047,0.9,1,50,0.505,0.1,false,0.05
2,0.00035047,0.9,1,50,0.505,0.1,false,0.05
3,0.00035047,0.9,1,50,0.505,0.1,false,0.05
4,0.00035047,0.9,1,50,0.505,0.1,false,0.05
5,0.00035047,0.9,1,50,0.505,0.1,false,0.05
6,0.00035047,0.9,1,50,0.505,0.1,false,0.05
7,0.00035047,0.9,1,50,0.505,0.1,false,0.05
8,0.00035047,0.9,1,50,0.505,0.1,false,0.05
9,0.00035047,0.9,1,50,0.505,0.1,false,0.05
0,6.94e-06,0.9,1,50,0.505,0.1,false,0.05
1,6.94e-06,0.9,1,50,0.505,0.1,false,0.05
2,6.94e-06,0.9,1,50,0.505,0.1,false,0.05
3,6.94e-06,0.9,1,50,0.505,0.1,false,0.05
4,6.94e-06,0.9,1,50,0.505,0.1,false,0.05
5,6.94e-06,0.9,1,50,0.505,0.1,false,0.05
6,6.94e-06,0.9,1,50,0.505,0.1,false,0.05
7,6.94e-06,0.9,1,50,0.505,0.1,false,0.05
8,6.94e-06,0.9,1,50,0.505,0.1,false,0.05
9,6.94e-06,0.9,1,50,0.505,0.1,false,0.05
0,0.000694,0.1,0.01,90,0.505,0.1,false,0.05
1,0.000694,0.1,0.01,90,0.505,0.1,false,0.05
2,0.000694,0.1,0.01,90,0.505,0.1,false,0.05
3,0.000694,0.1,0.01,90,0.505,0.1,false,0.05
4,0.000694,0.1,0.01,90,0.505,0.1,false,0.05
5,0.000694,0.1,0.01,90,0.505,0.1,false,0.05
6,0.000694,0.1,0.01,90,0.505,0.1,false,0.05
7,0.000694,0.1,0.01,90,0.505,0.1,false,0.05
8,0.000694,0.1,0.01,90,0.505,0.1,false,0.05
9,0.000694,0.1,0.01,90,0.505,0.1,false,0.05
0,0.00035047,0.1,0.01,90,0.505,0.1,false,0.05
1,0.00035047,0.1,0.01,90,0.505,0.1,false,0.05
2,0.00035047,0.1,0.01,90,0.505,0.1,false,0.05
3,0.00035047,0.1,0.01,90,0.505,0.1,false,0.05
4,0.00035047,0.1,0.01,90,0.505,0.1,false,0.05
5,0.00035047,0.1,0.01,90,0.505,0.1,false,0.05
6,0.00035047,0.1,0.01,90,0.505,0.1,false,0.05
7,0.00035047,0.1,0.01,90,0.505,0.1,false,0.05
8,0.00035047,0.1,0.01,90,0.505,0.1,false,0.05
9,0.00035047,0.1,0.01,90,0.505,0.1,false,0.05
0,6.94e-06,0.1,0.01,90,0.505,0.1,false,0.05
1,6.94e-06,0.1,0.01,90,0.505,0.1,false,0.05
2,6.94e-06,0.1,0.01,90,0.505,0.1,false,0.05
3,6.94e-06,0.1,0.01,90,0.505,0.1,false,0.05
4,6.94e-06,0.1,0.01,90,0.505,0.1,false,0.05
5,6.94e-06,0.1,0.01,90,0.505,0.1,false,0.05
6,6.94e-06,0.1,0.01,90,0.505,0.1,false,0.05
7,6.94e-06,0.1,0.01,90,0.505,0.1,false,0.05
8,6.94e-06,0.1,0.01,90,0.505,0.1,false,0.05
9,6.94e-06,0.1,0.01,90,0.505,0.1,false,0.05
0,0.000694,0.5,0.01,90,0.505,0.1,false,0.05
1,0.000694,0.5,0.01,90,0.505,0.1,false,0.05
2,0.000694,0.5,0.01,90,0.505,0.1,false,0.05
3,0.000694,0.5,0.01,90,0.505,0.1,false,0.05
4,0.000694,0.5,0.01,90,0.505,0.1,false,0.05
5,0.000694,0.5,0.01,90,0.505,0.1,false,0.05
6,0.000694,0.5,0.01,90,0.505,0.1,false,0.05
7,0.000694,0.5,0.01,90,0.505,0.1,false,0.05
8,0.000694,0.5,0.01,90,0.505,0.1,false,0.05
9,0.000694,0.5,0.01,90,0.505,0.1,false,0.05
0,0.00035047,0.5,0.01,90,0.505,0.1,false,0.05
1,0.00035047,0.5,0.01,90,0.505,0.1,false,0.05
2,0.00035047,0.5,0.01,90,0.505,0.1,false,0.05
3,0.00035047,0.5,0.01,90,0.505,0.1,false,0.05
4,0.00035047,0.5,0.01,90,0.505,0.1,false,0.05
5,0.00035047,0.5,0.01,90,0.505,0.1,false,0.05
6,0.00035047,0.5,0.01,90,0.505,0.1,false,0.05
7,0.00035047,0.5,0.01,90,0.505,0.1,false,0.05
8,0.00035047,0.5,0.01,90,0.505,0.1,false,0.05
9,0.00035047,0.5,0.01,90,0.505,0.1,false,0.05
0,6.94e-06,0.5,0.01,90,0.505,0.1,false,0.05
1,6.94e-06,0.5,0.01,90,0.505,0.1,false,0.05
2,6.94e-06,0.5,0.01,90,0.505,0.1,false,0.05
3,6.94e-06,0.5,0.01,90,0.505,0.1,false,0.05
4,6.94e-06,0.5,0.01,90,0.505,0.1,false,0.05
5,6.94e-06,0.5,0.01,90,0.505,0.1,false,0.05
6,6.94e-06,0.5,0.01,90,0.505,0.1,false,0.05
7,6.94e-06,0.5,0.01,90,0.505,0.1,false,0.05
8,6.94e-06,0.5,0.01,90,0.505,0.1,false,0.05
9,6.94e-06,0.5,0.01,90,0.505,0.1,false,0.05
0,0.000694,0.9,0.01,90,0.505,0.1,false,0.05
1,0.000694,0.9,0.01,90,0.505,0.1,false,0.05
2,0.000694,0.9,0.01,90,0.505,0.1,false,0.05
3,0.000694,0.9,0.01,90,0.505,0.1,false,0.05
4,0.000694,0.9,0.01,90,0.505,0.1,false,0.05
5,0.000694,0.9,0.01,90,0.505,0.1,false,0.05
6,0.000694,0.9,0.01,90,0.505,0.1,false,0.05
7,0.000694,0.9,0.01,90,0.505,0.1,false,0.05
8,0.000694,0.9,0.01,90,0.505,0.1,false,0.05
9,0.000694,0.9,0.01,90,0.505,0.1,false,0.05
0,0.00035047,0.9,0.01,90,0.505,0.1,false,0.05
1,0.00035047,0.9,0.01,90,0.505,0.1,false,0.05
2,0.00035047,0.9,0.01,90,0.505,0.1,false,0.05
3,0.00035047,0.9,0.01,90,0.505,0.1,false,0.05
4,0.00035047,0.9,0.01,90,0.505,0.1,false,0.05
5,0.00035047,0.9,0.01,90,0.505,0.1,false,0.05
6,0.00035047,0.9,0.01,90,0.505,0.1,false,0.05
7,0.00035047,0.9,0.01,90,0.505,0.1,false,0.05
8,0.00035047,0.9,0.01,90,0.505,0.1,false,0.05
9,0.00035047,0.9,0.01,90,0.505,0.1,false,0.05
0,6.94e-06,0.9,0.01,90,0.505,0.1,false,0.05
1,6.94e-06,0.9,0.01,90,0.505,0.1,false,0.05
2,6.94e-06,0.9,0.01,90,0.505,0.1,false,0.05
3,6.94e-06,0.9,0.01,90,0.505,0.1,false,0.05
4,6.94e-06,0.9,0.01,90,0.505,0.1,false,0.05
5,6.94e-06,0.9,0.01,90,0.505,0.1,false,0.05
6,6.94e-06,0.9,0.01,90,0.505,0.1,false,0.05
7,6.94e-06,0.9,0.01,90,0.505,0.1,false,0.05
8,6.94e-06,0.9,0.01,90,0.505,0.1,false,0.05
9,6.94e-06,0.9,0.01,90,0.505,0.1,false,0.05
0,0.000694,0.1,0.505,90,0.505,0.1,false,0.05
1,0.000694,0.1,0.505,90,0.505,0.1,false,0.05
2,0.000694,0.1,0.505,90,0.505,0.1,false,0.05
3,0.000694,0.1,0.505,90,0.505,0.1,false,0.05
4,0.000694,0.1,0.505,90,0.505,0.1,false,0.05
5,0.000694,0.1,0.505,90,0.505,0.1,false,0.05
6,0.000694,0.1,0.505,90,0.505,0.1,false,0.05
7,0.000694,0.1,0.505,90,0.505,0.1,false,0.05
8,0.000694,0.1,0.505,90,0.505,0.1,false,0.05
9,0.000694,0.1,0.505,90,0.505,0.1,false,0.05
0,0.00035047,0.1,0.505,90,0.505,0.1,false,0.05
1,0.00035047,0.1,0.505,90,0.505,0.1,false,0.05
2,0.00035047,0.1,0.505,90,0.505,0.1,false,0.05
3,0.00035047,0.1,0.505,90,0.505,0.1,false,0.05
4,0.00035047,0.1,0.505,90,0.505,0.1,false,0.05
5,0.00035047,0.1,0.505,90,0.505,0.1,false,0.05
6,0.00035047,0.1,0.505,90,0.505,0.1,false,0.05
7,0.00035047,0.1,0.505,90,0.505,0.1,false,0.05
8,0.00035047,0.1,0.505,90,0.505,0.1,false,0.05
9,0.00035047,0.1,0.505,90,0.505,0.1,false,0.05
0,6.94e-06,0.1,0.505,90,0.505,0.1,false,0.05
1,6.94e-06,0.1,0.505,90,0.505,0.1,false,0.05
2,6.94e-06,0.1,0.505,90,0.505,0.1,false,0.05
3,6.94e-06,0.1,0.505,90,0.505,0.1,false,0.05
4,6.94e-06,0.1,0.505,90,0.505,0.1,false,0.05
5,6.94e-06,0.1,0.505,90,0.505,0.1,false,0.05
6,6.94e-06,0.1,0.505,90,0.505,0.1,false,0.05
7,6.94e-06,0.1,0.505,90,0.505,0.1,false,0.05
8,6.94e-06,0.1,0.505,90,0.505,0.1,false,0.05
9,6.94e-06,0.1,0.505,90,0.505,0.1,false,0.05
0,0.000694,0.5,0.505,90,0.505,0.1,false,0.05
1,0.000694,0.5,0.505,90,0.505,0.1,false,0.05
2,0.000694,0.5,0.505,90,0.505,0.1,false,0.05
3,0.000694,0.5,0.505,90,0.505,0.1,false,0.05
4,0.000694,0.5,0.505,90,0.505,0.1,false,0.05
5,0.000694,0.5,0.505,90,0.505,0.1,false,0.05
6,0.000694,0.5,0.505,90,0.505,0.1,false,0.05
7,0.000694,0.5,0.505,90,0.505,0.1,false,0.05
8,0.000694,0.5,0.505,90,0.505,0.1,false,0.05
9,0.000694,0.5,0.505,90,0.505,0.1,false,0.05
0,0.00035047,0.5,0.505,90,0.505,0.1,false,0.05
1,0.00035047,0.5,0.505,90,0.505,0.1,false,0.05
2,0.00035047,0.5,0.505,90,0.505,0.1,false,0.05
3,0.00035047,0.5,0.505,90,0.505,0.1,false,0.05
